"trip_id","arrival_time","departure_time","stop_id","stop_sequence","stop_headsign","pickup_type","drop_off_type","shape_dist_traveled","timepoint"
"27332773U","13:01:12","13:01:12","1228","7","","0","0","","0"
"27332777U","08:16:12","08:16:12","1228","7","","0","0","","0"
"27342208U","13:01:12","13:01:12","1228","7","","0","0","","0"
"27342212U","08:16:12","08:16:12","1228","7","","0","0","","0"
"27359109U","13:01:12","13:01:12","1228","7","","0","0","","0"
"27359113U","08:16:12","08:16:12","1228","7","","0","0","","0"
"27281881U","06:37:19","06:37:19","1228","31","","0","0","","0"
"27281882U","08:34:12","08:34:12","1228","31","","0","0","","0"
"27281883U","10:34:12","10:34:12","1228","31","","0","0","","0"
"27281884U","12:34:12","12:34:12","1228","31","","0","0","","0"
"27281885U","14:34:12","14:34:12","1228","31","","0","0","","0"
"27281886U","16:34:12","16:34:12","1228","31","","0","0","","0"
"27281887U","18:34:12","18:34:12","1228","31","","0","0","","0"
"27281888U","20:30:19","20:30:19","1228","31","","0","0","","0"
"27281897U","07:34:12","07:34:12","1228","31","","0","0","","0"
"27281898U","09:34:12","09:34:12","1228","31","","0","0","","0"
"27281899U","11:34:12","11:34:12","1228","31","","0","0","","0"
"27281900U","13:34:12","13:34:12","1228","31","","0","0","","0"
"27281901U","15:34:12","15:34:12","1228","31","","0","0","","0"
"27281902U","17:34:12","17:34:12","1228","31","","0","0","","0"
"27281903U","19:34:12","19:34:12","1228","31","","0","0","","0"
"27281904U","21:28:19","21:28:19","1228","31","","0","0","","0"
"27281905U","23:18:19","23:18:19","1228","31","","0","0","","0"
"27290198U","06:37:19","06:37:19","1228","31","","0","0","","0"
"27290199U","08:34:12","08:34:12","1228","31","","0","0","","0"
"27290200U","10:34:12","10:34:12","1228","31","","0","0","","0"
"27290201U","12:34:12","12:34:12","1228","31","","0","0","","0"
"27290202U","14:34:12","14:34:12","1228","31","","0","0","","0"
"27290203U","16:34:12","16:34:12","1228","31","","0","0","","0"
"27290204U","18:34:12","18:34:12","1228","31","","0","0","","0"
"27290205U","20:30:19","20:30:19","1228","31","","0","0","","0"
"27290214U","07:34:12","07:34:12","1228","31","","0","0","","0"
"27290215U","09:34:12","09:34:12","1228","31","","0","0","","0"
"27290216U","11:34:12","11:34:12","1228","31","","0","0","","0"
"27290217U","13:34:12","13:34:12","1228","31","","0","0","","0"
"27290218U","15:34:12","15:34:12","1228","31","","0","0","","0"
"27290219U","17:34:12","17:34:12","1228","31","","0","0","","0"
"27290220U","19:34:12","19:34:12","1228","31","","0","0","","0"
"27290221U","21:28:19","21:28:19","1228","31","","0","0","","0"
"27290222U","23:18:19","23:18:19","1228","31","","0","0","","0"
"27296546U","06:41:52","06:41:52","1228","31","","0","0","","0"
"27296547U","08:39:12","08:39:12","1228","31","","0","0","","0"
"27296548U","10:39:12","10:39:12","1228","31","","0","0","","0"
"27296549U","12:39:12","12:39:12","1228","31","","0","0","","0"
"27296550U","14:39:12","14:39:12","1228","31","","0","0","","0"
"27296551U","16:39:12","16:39:12","1228","31","","0","0","","0"
"27296552U","18:39:12","18:39:12","1228","31","","0","0","","0"
"27296553U","20:30:19","20:30:19","1228","31","","0","0","","0"
"27296561U","07:39:12","07:39:12","1228","31","","0","0","","0"
"27296562U","09:39:12","09:39:12","1228","31","","0","0","","0"
"27296563U","11:39:12","11:39:12","1228","31","","0","0","","0"
"27296564U","13:39:12","13:39:12","1228","31","","0","0","","0"
"27296565U","15:39:12","15:39:12","1228","31","","0","0","","0"
"27296566U","17:39:12","17:39:12","1228","31","","0","0","","0"
"27296567U","19:39:12","19:39:12","1228","31","","0","0","","0"
"27296568U","21:30:19","21:30:19","1228","31","","0","0","","0"
"27296569U","23:20:19","23:20:19","1228","31","","0","0","","0"
"27332757U","06:30:19","06:30:19","1228","31","","0","0","","0"
"27332758U","08:32:12","08:32:12","1228","31","","0","0","","0"
"27332759U","10:39:12","10:39:12","1228","31","","0","0","","0"
"27332760U","12:44:12","12:44:12","1228","31","","0","0","","0"
"27332761U","14:49:12","14:49:12","1228","31","","0","0","","0"
"27332762U","16:49:12","16:49:12","1228","31","","0","0","","0"
"27332763U","18:49:12","18:49:12","1228","31","","0","0","","0"
"27332764U","20:45:19","20:45:19","1228","31","","0","0","","0"
"27332776U","07:10:19","07:10:19","1228","31","","0","0","","0"
"27332780U","07:32:12","07:32:12","1228","31","","0","0","","0"
"27332781U","09:39:12","09:39:12","1228","31","","0","0","","0"
"27332782U","11:39:12","11:39:12","1228","31","","0","0","","0"
"27332783U","13:44:12","13:44:12","1228","31","","0","0","","0"
"27332784U","15:49:12","15:49:12","1228","31","","0","0","","0"
"27332785U","17:49:12","17:49:12","1228","31","","0","0","","0"
"27332786U","19:49:12","19:49:12","1228","31","","0","0","","0"
"27332787U","21:40:19","21:40:19","1228","31","","0","0","","0"
"27332788U","23:30:19","23:30:19","1228","31","","0","0","","0"
"27342192U","06:30:19","06:30:19","1228","31","","0","0","","0"
"27342193U","08:32:12","08:32:12","1228","31","","0","0","","0"
"27342194U","10:39:12","10:39:12","1228","31","","0","0","","0"
"27342195U","12:44:12","12:44:12","1228","31","","0","0","","0"
"27342196U","14:49:12","14:49:12","1228","31","","0","0","","0"
"27342197U","16:49:12","16:49:12","1228","31","","0","0","","0"
"27342198U","18:49:12","18:49:12","1228","31","","0","0","","0"
"27342199U","20:45:19","20:45:19","1228","31","","0","0","","0"
"27342211U","07:10:19","07:10:19","1228","31","","0","0","","0"
"27342215U","07:32:12","07:32:12","1228","31","","0","0","","0"
"27342216U","09:39:12","09:39:12","1228","31","","0","0","","0"
"27342217U","11:39:12","11:39:12","1228","31","","0","0","","0"
"27342218U","13:44:12","13:44:12","1228","31","","0","0","","0"
"27342219U","15:49:12","15:49:12","1228","31","","0","0","","0"
"27342220U","17:49:12","17:49:12","1228","31","","0","0","","0"
"27342221U","19:49:12","19:49:12","1228","31","","0","0","","0"
"27342222U","21:40:19","21:40:19","1228","31","","0","0","","0"
"27342223U","23:30:19","23:30:19","1228","31","","0","0","","0"
"27349015U","06:41:52","06:41:52","1228","31","","0","0","","0"
"27349016U","08:39:12","08:39:12","1228","31","","0","0","","0"
"27349017U","10:39:12","10:39:12","1228","31","","0","0","","0"
"27349018U","12:39:12","12:39:12","1228","31","","0","0","","0"
"27349019U","14:39:12","14:39:12","1228","31","","0","0","","0"
"27349020U","16:39:12","16:39:12","1228","31","","0","0","","0"
"27349021U","18:39:12","18:39:12","1228","31","","0","0","","0"
"27349022U","20:30:19","20:30:19","1228","31","","0","0","","0"
"27349030U","07:39:12","07:39:12","1228","31","","0","0","","0"
"27349031U","09:39:12","09:39:12","1228","31","","0","0","","0"
"27349032U","11:39:12","11:39:12","1228","31","","0","0","","0"
"27349033U","13:39:12","13:39:12","1228","31","","0","0","","0"
"27349034U","15:39:12","15:39:12","1228","31","","0","0","","0"
"27349035U","17:39:12","17:39:12","1228","31","","0","0","","0"
"27349036U","19:39:12","19:39:12","1228","31","","0","0","","0"
"27349037U","21:30:19","21:30:19","1228","31","","0","0","","0"
"27349038U","23:20:19","23:20:19","1228","31","","0","0","","0"
"27359093U","06:30:19","06:30:19","1228","31","","0","0","","0"
"27359094U","08:32:12","08:32:12","1228","31","","0","0","","0"
"27359095U","10:39:12","10:39:12","1228","31","","0","0","","0"
"27359096U","12:44:12","12:44:12","1228","31","","0","0","","0"
"27359097U","14:49:12","14:49:12","1228","31","","0","0","","0"
"27359098U","16:49:12","16:49:12","1228","31","","0","0","","0"
"27359099U","18:49:12","18:49:12","1228","31","","0","0","","0"
"27359100U","20:45:19","20:45:19","1228","31","","0","0","","0"
"27359112U","07:10:19","07:10:19","1228","31","","0","0","","0"
"27359116U","07:32:12","07:32:12","1228","31","","0","0","","0"
"27359117U","09:39:12","09:39:12","1228","31","","0","0","","0"
"27359118U","11:39:12","11:39:12","1228","31","","0","0","","0"
"27359119U","13:44:12","13:44:12","1228","31","","0","0","","0"
"27359120U","15:49:12","15:49:12","1228","31","","0","0","","0"
"27359121U","17:49:12","17:49:12","1228","31","","0","0","","0"
"27359122U","19:49:12","19:49:12","1228","31","","0","0","","0"
"27359123U","21:40:19","21:40:19","1228","31","","0","0","","0"
"27359124U","23:30:19","23:30:19","1228","31","","0","0","","0"
